미세먼지(PM2.5) 월별 도시별 대기오염도 (단위 : μg/m³ )
시도별,도시별,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,
전북,진안,36,36,40,20,21,27,17,18,13,13,21,23,
전북,무주,33,32,34,15,19,19,10,9,7,10,16,22,
전북,순창,35,39,41,21,23,23,13,22,22,17,20,24,
전북,장수,41,41,43,23,21,20,10,13,10,,23,26,
전북,도평균,40,40,44,23,25,24,16,16,15,19,23,25,
전남,화순,,,26,16,20,20,12,16*,11,12,15,17,
전남,여수,21,26,24,16,21,20,13,17,12,12,15,15,
전남,광양,25*,29,27,16,19,20,13,15,11,11,14,16,
전남,순천,24,28,27,15,20,18,11,16,9,10,17,19,
전남,목포,27,29,35,16,22,16,14,16,13,16,16,19,
전남,영암,30,30,37,21,27,20,20,22,17,17,20,25,
전남,나주,27,31,34,20,20,21,14,17,9,12,19,19,
전남,담양,37,41,44,20,20,28,18,17,11,14,20,16,
전남,장성,34,34,38,21,22,18,9*,13,10,13,18,21,
전남,해남,25,25,34,17,23,25,17,16,11,14,16,12,
전남,영광,33,35,45,25,27,26,15,20,18,22,24,21,
전남,장흥,30,32,34,16,20,26,12*,22,13,14,20,22,
전남,진도,,24,26,14,20,18,11,14,11,14,13,16,
전남,완도,,23,25,14,20,18,12,14,10,11,14,13,
전남,함평,,30,35,18,24,23,15,17,13,17,19,23,
전남,고흥,,,18,14,20,19,12,15,12,12,15,16,
전남,신안,,,21,13,19,13,9,20,9,12,12,15,
전남,무안,,,23,21,28,24,16,16,19,21,20,22,
전남,강진,,,,,,19*,15,18,14,14,16,18,
전남,곡성,,,,,,,,,12,14,20,20,
전남,구례,,,,,,,13,14,11,13,21,24,
전남,보성,,,,,,,,,11,12,16,20,
전남,도평균,25,29,29,17,21,20,13,16,12,13,17,18,
경북,영덕,,,,,,,,,,,,18**,
경북,영천,34,32,31,17,25,21,17,15,11,12,20,25,
경북,울릉도,,,,,,,21**,15,9,9,9,,
경북,포항,27,27,29,16,23,17,14,16,13,13,19,22,
경북,구미,34,32,30,15,18,18,16,12,9,11,19,26,
경북,김천,34,36,44,18,18,20,17,14,14,16*,21,29,
경북,경주,31,31,31,18,22,19**,15,15,10,13,17,19**,
경북,안동,,39**,31,15,20,17,16,15,10,13,19,26,
경북,영주,43,38,37,17,21,17,14,15,14,20,30,37**,
경북,경산,39,37,34,18,21,21,16,19,14,15,22,32,
경북,상주,40,43,44,20,23,17,12,13,11,15,,25**,
경북,칠곡,36,33,31,16,19,16,14,15,14,15,24,30,
경북,울진,,19*,23,10,13,8,17,17,10,12,16,18,
경북,봉화,,,,,17,13,13,14,7,9,12,16,
경북,고령,,,,,,,,,,11,16,20,
경북,도평균,33,32,32,16,20,17,15,15,12,13,19,24,
경남,창원,25,26,26,18,21,19,16,17,13,12,16,21,
경남,진주,22,23,24,17,20,20,16,15,11,10,13,17,
경남,하동,18,22,22,14,19,21,,15,9,9,13,14,
경남,김해,26,27,28,18,23,21,18,19,14,12,18,23,
경남,양산,24,25,26,18,22,21,18,20,14,15,19,23,
경남,거제,25,27,28,20,24,20,11,17,10,12,15,14,
경남,사천,21,23,23,15,17,18,13,16,11,11,16,18,
경남,밀양,26,26,26,16,19,18,14,12,7,9,17,22,
경남,통영,25,27,27,18,23,21,15,15,10,9,13,14,
경남,고성,19,21,21,14,16,16,11,14,11,11,14,16,
경남,거창,25,26,28,16,17,17,12,13,9,,21,25,
경남,함안,25,25,23,15,16,17,12,12,10,,19,23,
경남,함양,23,25,28,15,17,17,11,12,9,11,16,20,
경남,남해,23,27,27,18,20,20,13,16,11,12,18,21,
경남,산청,,,,,,,,,,,16,18,
경남,의령,,,,,,,,,,,16,21,
경남,창녕,,,,,,,,,,,19,23,
경남,합천,,,,,,,,,,,15,17,
경남,도평균,24,25,26,17,20,20,15,16,12,12,16,20,
제주,제주,25,28,33,22,22,22,18,20,16,17,16,16,
제주,서귀포,19,21,26,17,17,18,14,16,10,13,15,16,
제주,도평균,22,23,29,19,19,19,16,18,12,15,15,16,
